#run_name            mass#9900012         mass#9900035         mass#9900036         mass#9900037         cross                error                
run_60               1.100000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.762000e-17         2.933100e-20         
run_61               1.200000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.371600e-09         2.857715e-12         
run_62               1.200000e+01         2.500000e+02         2.500000e+02         2.500000e+02         8.459221e-11         5.334106e-14         
run_63               1.200000e+01         5.000000e+02         5.000000e+02         5.000000e+02         5.134846e-12         4.662500e-15         
run_64               1.200000e+01         1.000000e+03         1.000000e+03         1.000000e+03         3.187006e-13         2.490300e-16         
run_65               1.200000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.182700e-17         2.097200e-20         
run_66               1.300000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.657451e-09         2.554384e-12         
run_67               1.300000e+01         2.500000e+02         2.500000e+02         2.500000e+02         7.092364e-11         4.939449e-14         
run_68               1.300000e+01         5.000000e+02         5.000000e+02         5.000000e+02         4.308321e-12         3.004401e-15         
run_69               1.300000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.670805e-13         2.175400e-16         
run_70               1.300000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.667900e-17         2.517200e-20         
run_71               1.400000e+01         1.000000e+02         1.000000e+02         1.000000e+02         3.028372e-09         2.326946e-12         
run_72               1.400000e+01         2.500000e+02         2.500000e+02         2.500000e+02         5.872406e-11         3.956329e-14         
run_73               1.400000e+01         5.000000e+02         5.000000e+02         5.000000e+02         3.573901e-12         2.381900e-15         
run_74               1.400000e+01         1.000000e+03         1.000000e+03         1.000000e+03         2.216104e-13         1.601400e-16         
run_75               1.400000e+01         1.000000e+04         1.000000e+04         1.000000e+04         2.211700e-17         1.504100e-20         
run_76               1.500000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.483504e-09         1.781622e-12         
run_77               1.500000e+01         2.500000e+02         2.500000e+02         2.500000e+02         4.819715e-11         3.261405e-14         
run_78               1.500000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.930983e-12         2.326600e-15         
run_79               1.500000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.819803e-13         1.191400e-16         
run_80               1.500000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.817000e-17         1.139300e-20         
run_81               1.600000e+01         1.000000e+02         1.000000e+02         1.000000e+02         2.016731e-09         1.466761e-12         
run_82               1.600000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.918071e-11         2.973984e-14         
run_83               1.600000e+01         5.000000e+02         5.000000e+02         5.000000e+02         2.382769e-12         2.041800e-15         
run_84               1.600000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.479003e-13         1.031300e-16         
run_85               1.600000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.477200e-17         1.013900e-20         
run_86               1.700000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.616442e-09         1.387417e-12         
run_87               1.700000e+01         2.500000e+02         2.500000e+02         2.500000e+02         3.155988e-11         2.739052e-14         
run_88               1.700000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.916155e-12         1.572000e-15         
run_89               1.700000e+01         1.000000e+03         1.000000e+03         1.000000e+03         1.190302e-13         7.547100e-17         
run_90               1.700000e+01         1.000000e+04         1.000000e+04         1.000000e+04         1.188300e-17         1.004600e-20         
run_91               1.800000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.280134e-09         1.132005e-12         
run_92               1.800000e+01         2.500000e+02         2.500000e+02         2.500000e+02         2.507282e-11         1.817986e-14         
run_93               1.800000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.526944e-12         1.226000e-15         
run_94               1.800000e+01         1.000000e+03         1.000000e+03         1.000000e+03         9.460117e-14         7.298700e-17         
run_95               1.800000e+01         1.000000e+04         1.000000e+04         1.000000e+04         9.443100e-18         7.274300e-21         
run_96               1.900000e+01         1.000000e+02         1.000000e+02         1.000000e+02         1.003485e-09         8.855222e-13         
run_97               1.900000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.971148e-11         1.602434e-14         
run_98               1.900000e+01         5.000000e+02         5.000000e+02         5.000000e+02         1.199135e-12         9.614601e-16         
run_99               1.900000e+01         1.000000e+03         1.000000e+03         1.000000e+03         7.441513e-14         5.600100e-17         
run_100              1.900000e+01         1.000000e+04         1.000000e+04         1.000000e+04         7.437300e-18         5.950200e-21         
run_101              2.000000e+01         1.000000e+02         1.000000e+02         1.000000e+02         7.763250e-10         6.078071e-13         
run_102              2.000000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.529826e-11         1.007232e-14         
run_103              2.000000e+01         5.000000e+02         5.000000e+02         5.000000e+02         9.315969e-13         7.412801e-16         
run_104              2.000000e+01         1.000000e+03         1.000000e+03         1.000000e+03         5.787410e-14         4.605700e-17         
run_105              2.000000e+01         1.000000e+04         1.000000e+04         1.000000e+04         5.772100e-18         4.844800e-21         
run_106              2.100000e+01         1.000000e+02         1.000000e+02         1.000000e+02         5.918830e-10         4.673353e-13         
run_107              2.100000e+01         2.500000e+02         2.500000e+02         2.500000e+02         1.172159e-11         8.319347e-15         
run_108              2.100000e+01         5.000000e+02         5.000000e+02         5.000000e+02         7.146803e-13         5.605001e-16         
run_109              2.100000e+01         1.000000e+03         1.000000e+03         1.000000e+03         4.435708e-14         3.253300e-17         
run_110              2.100000e+01         1.000000e+04         1.000000e+04         1.000000e+04         4.431200e-18         2.688500e-21         
run_111              2.200000e+01         1.000000e+02         1.000000e+02         1.000000e+02         4.459714e-10         3.261046e-13         
run_112              2.200000e+01         2.500000e+02         2.500000e+02         2.500000e+02         8.854491e-12         5.498993e-15         
run_113              2.200000e+01         5.000000e+02         5.000000e+02         5.000000e+02         5.395551e-13         4.150700e-16         
run_114              2.200000e+01         1.000000e+03         1.000000e+03         1.000000e+03         3.354406e-14         2.527200e-17         
run_115              2.200000e+01         1.000000e+04         1.000000e+04         1.000000e+04         3.349100e-18         2.133100e-21         
